,ws,Technology,par,unit,est,year,val
318,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,control,2050,2.9
319,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,lower,2020,0.8
320,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,lower,2050,0.8
321,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,upper,2020,5.3
322,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,upper,2050,5.3
323,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,control,2015,2.9
324,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,control,2020,2.9
325,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,control,2030,2.9
326,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,control,2040,2.9
327,large hot water tank,large-scale hot water tanks (steel),output capacity for one unit,MW,control,2050,2.9
328,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,lower,2020,0.0
329,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,lower,2050,0.0
330,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,upper,2020,4.0
331,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,upper,2050,4.0
332,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,control,2015,1.0
333,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,control,2020,1.0
334,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,control,2030,1.0
335,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,control,2040,1.0
336,large hot water tank,large-scale hot water tanks (steel),planned outage,weeks/year,control,2050,1.0
337,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,lower,2020,96.0
338,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,lower,2050,96.0
339,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,upper,2020,99.0
340,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,upper,2050,99.0
341,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,control,2015,98.0
342,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,control,2020,98.0
343,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,control,2030,98.0
344,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,control,2040,98.0
345,large hot water tank,large-scale hot water tanks (steel),round trip efficiency,percent,control,2050,98.0
346,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,lower,2020,30.0
347,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,lower,2050,30.0
348,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,upper,2020,50.0
349,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,upper,2050,50.0
350,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,control,2015,40.0
351,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,control,2020,40.0
352,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,control,2030,40.0
353,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,control,2040,40.0
354,large hot water tank,large-scale hot water tanks (steel),technical lifetime,years,control,2050,40.0
